lat,lon,ele,time,cum_dist,cum_up,cum_down,cum_time
24.397469,121.30692,1940.0,2021-03-12 22:13:45+00:00,0.0,0.0,0.0,0 days 00:00:00
24.397243,121.306915,1924.0,2021-03-12 22:14:32+00:00,25.16342603733744,0.0,16.0,0 days 00:00:47
24.397184,121.30694,1923.0,2021-03-12 22:15:06+00:00,32.20336068467364,0.0,17.0,0 days 00:01:21
24.397104,121.30708,1919.0,2021-03-12 22:15:23+00:00,48.95910707693046,0.0,21.0,0 days 00:01:38
24.397036,121.30719,1922.0,2021-03-12 22:15:35+00:00,62.43735130163792,3.0,21.0,0 days 00:01:50
24.397005,121.30724,1922.0,2021-03-12 22:15:40+00:00,68.56951698229653,3.0,21.0,0 days 00:01:55
24.396944,121.307274,1914.0,2021-03-12 22:16:59+00:00,76.18478827455189,3.0,29.0,0 days 00:03:14
24.396875,121.30735,1917.0,2021-03-12 22:17:19+00:00,87.06430639477539,6.0,29.0,0 days 00:03:34
24.396906,121.307274,1921.0,2021-03-12 22:17:34+00:00,95.50668705818475,10.0,29.0,0 days 00:03:49
24.396936,121.30736,1922.0,2021-03-12 22:18:04+00:00,104.84306609652629,11.0,29.0,0 days 00:04:19
24.396935,121.3075,1924.0,2021-03-12 22:18:15+00:00,119.03666968814417,13.0,29.0,0 days 00:04:30
24.396938,121.3076,1922.0,2021-03-12 22:18:21+00:00,129.18014514533013,13.0,31.0,0 days 00:04:36
24.396944,121.30768,1914.0,2021-03-12 22:20:08+00:00,137.3179823344925,13.0,39.0,0 days 00:06:23
24.397003,121.30776,1917.0,2021-03-12 22:20:43+00:00,147.75423122076288,16.0,39.0,0 days 00:06:58
24.397013,121.30782,1918.0,2021-03-12 22:20:48+00:00,153.93803715195324,17.0,39.0,0 days 00:07:03
24.39708,121.3079,1918.0,2021-03-12 22:20:59+00:00,164.95649867471175,17.0,39.0,0 days 00:07:14
24.397308,121.30793,1928.0,2021-03-12 22:21:21+00:00,190.51903304957114,27.0,39.0,0 days 00:07:36
24.397392,121.30794,1926.0,2021-03-12 22:21:31+00:00,199.9247087669087,27.0,41.0,0 days 00:07:46
24.397484,121.30795,1926.0,2021-03-12 22:21:38+00:00,210.21620383621826,27.0,41.0,0 days 00:07:53
24.397541,121.307945,1927.0,2021-03-12 22:21:43+00:00,216.58165862985064,28.0,41.0,0 days 00:07:58
24.39764,121.307846,1924.0,2021-03-12 22:21:55+00:00,231.4876177166196,28.0,44.0,0 days 00:08:10
24.39768,121.30779,1924.0,2021-03-12 22:22:00+00:00,238.7027695970056,28.0,44.0,0 days 00:08:15
24.397787,121.307755,1921.0,2021-03-12 22:22:12+00:00,251.13127931013307,28.0,47.0,0 days 00:08:27
24.397861,121.30778,1918.0,2021-03-12 22:22:22+00:00,259.7500345470375,28.0,50.0,0 days 00:08:37
24.397985,121.30784,1915.0,2021-03-12 22:23:33+00:00,274.83450626758486,28.0,53.0,0 days 00:09:48
24.398088,121.3079,1908.0,2021-03-12 22:24:39+00:00,287.81402389291867,28.0,60.0,0 days 00:10:54
24.398197,121.30794,1908.0,2021-03-12 22:24:47+00:00,300.60758869219814,28.0,60.0,0 days 00:11:02
24.398258,121.30799,1908.0,2021-03-12 22:24:54+00:00,309.08138819150406,28.0,60.0,0 days 00:11:09
24.398357,121.308014,1905.0,2021-03-12 22:25:04+00:00,320.3674550224926,28.0,63.0,0 days 00:11:19
24.39841,121.30804,1904.0,2021-03-12 22:25:11+00:00,326.8294361297119,28.0,64.0,0 days 00:11:26
24.398527,121.30805,1899.0,2021-03-12 22:25:28+00:00,339.8932716324183,28.0,69.0,0 days 00:11:43
24.39859,121.30809,1901.0,2021-03-12 22:25:38+00:00,347.99441731098716,30.0,69.0,0 days 00:11:53
24.39884,121.30818,1913.0,2021-03-12 22:26:02+00:00,377.2819094112701,42.0,69.0,0 days 00:12:17
24.398884,121.3082,1912.0,2021-03-12 22:26:07+00:00,382.58306069765285,42.0,70.0,0 days 00:12:22
24.398945,121.30822,1912.0,2021-03-12 22:26:14+00:00,389.66982129275766,42.0,70.0,0 days 00:12:29
