lat,lon,ele,time,cum_dist,cum_up,cum_down,cum_time
24.455881,121.37872,1570.0,2023-10-14 01:54:05+00:00,0.0,0.0,0.0,0 days 00:00:00
24.45579,121.378845,1575.0,2023-10-14 01:54:21+00:00,16.219153921240775,5.0,0.0,0 days 00:00:16
24.455662,121.3789,1577.0,2023-10-14 01:54:30+00:00,31.519298144036426,7.0,0.0,0 days 00:00:25
24.455568,121.37885,1580.0,2023-10-14 01:54:40+00:00,43.14546345095836,10.0,0.0,0 days 00:00:35
24.45553,121.378746,1582.0,2023-10-14 01:54:50+00:00,54.50135622030967,12.0,0.0,0 days 00:00:45
24.455545,121.37863,1583.0,2023-10-14 01:55:00+00:00,66.37395678317809,13.0,0.0,0 days 00:00:55
24.455559,121.37851,1581.0,2023-10-14 01:55:21+00:00,78.63334195818544,13.0,2.0,0 days 00:01:16
24.455442,121.37848,1586.0,2023-10-14 01:55:36+00:00,92.00785218974644,18.0,2.0,0 days 00:01:31
24.455345,121.37844,1590.0,2023-10-14 01:55:51+00:00,103.54158555272076,22.0,2.0,0 days 00:01:46
24.455235,121.37838,1595.0,2023-10-14 01:56:11+00:00,117.21312507942827,27.0,2.0,0 days 00:02:06
24.455141,121.37825,1599.0,2023-10-14 01:56:32+00:00,134.03669227504398,31.0,2.0,0 days 00:02:27
24.45511,121.378136,1600.0,2023-10-14 01:56:52+00:00,146.09308933236878,32.0,2.0,0 days 00:02:47
24.455036,121.378044,1604.0,2023-10-14 01:57:07+00:00,158.53378903413403,36.0,2.0,0 days 00:03:02
24.454927,121.378006,1608.0,2023-10-14 01:57:16+00:00,171.264013614935,40.0,2.0,0 days 00:03:11
24.454863,121.37793,1611.0,2023-10-14 01:57:31+00:00,181.7553716206686,43.0,2.0,0 days 00:03:26
24.45496,121.37769,1609.0,2023-10-14 01:57:36+00:00,208.3647372955855,43.0,4.0,0 days 00:03:31
24.454664,121.37773,1623.0,2023-10-14 01:58:26+00:00,241.56382519899887,57.0,4.0,0 days 00:04:21
24.454674,121.377625,1626.0,2023-10-14 01:58:51+00:00,252.26190538407235,60.0,4.0,0 days 00:04:46
24.454659,121.3775,1630.0,2023-10-14 01:59:06+00:00,265.0381658782538,64.0,4.0,0 days 00:05:01
24.454592,121.3774,1634.0,2023-10-14 01:59:51+00:00,277.6204128233012,68.0,4.0,0 days 00:05:46
24.454544,121.377304,1638.0,2023-10-14 02:00:36+00:00,288.7193190722525,72.0,4.0,0 days 00:06:31
24.454515,121.37718,1642.0,2023-10-14 02:00:56+00:00,301.6927492340971,76.0,4.0,0 days 00:06:51
24.454472,121.37707,1648.0,2023-10-14 02:01:11+00:00,313.8237718984853,82.0,4.0,0 days 00:07:06
24.454473,121.37697,1649.0,2023-10-14 02:01:21+00:00,323.9577371884322,83.0,4.0,0 days 00:07:16
24.454388,121.376884,1653.0,2023-10-14 02:01:48+00:00,336.82160138930624,87.0,4.0,0 days 00:07:43
24.45432,121.3767,1656.0,2023-10-14 02:02:18+00:00,356.94501520609265,90.0,4.0,0 days 00:08:13
24.454296,121.37659,1657.0,2023-10-14 02:02:33+00:00,368.40742679844857,91.0,4.0,0 days 00:08:28
24.454226,121.37648,1660.0,2023-10-14 02:02:48+00:00,382.00781634877194,94.0,4.0,0 days 00:08:43
24.454174,121.37639,1663.0,2023-10-14 02:03:03+00:00,392.80982772282664,97.0,4.0,0 days 00:08:58
24.454119,121.3763,1664.0,2023-10-14 02:03:23+00:00,403.7944259436466,98.0,4.0,0 days 00:09:18
24.454052,121.37622,1666.0,2023-10-14 02:03:56+00:00,414.81018926618395,100.0,4.0,0 days 00:09:51
24.453966,121.37612,1671.0,2023-10-14 02:04:06+00:00,428.7507022076385,105.0,4.0,0 days 00:10:01
24.453957,121.37595,1678.0,2023-10-14 02:04:36+00:00,446.0065828622123,112.0,4.0,0 days 00:10:31
24.453981,121.37586,1681.0,2023-10-14 02:05:06+00:00,455.50991257836836,115.0,4.0,0 days 00:11:01
24.45404,121.37577,1680.0,2023-10-14 02:05:31+00:00,466.74879128457894,115.0,5.0,0 days 00:11:26
24.453953,121.37564,1688.0,2023-10-14 02:06:17+00:00,483.09916898925815,123.0,5.0,0 days 00:12:12
24.453846,121.375465,1698.0,2023-10-14 02:07:02+00:00,504.4615865389873,133.0,5.0,0 days 00:12:57
24.453777,121.3754,1702.0,2023-10-14 02:07:17+00:00,514.5800745039678,137.0,5.0,0 days 00:13:12
24.453693,121.37518,1713.0,2023-10-14 02:08:20+00:00,538.7552580456252,148.0,5.0,0 days 00:14:15
24.453554,121.37498,1724.0,2023-10-14 02:08:55+00:00,564.2537591846248,159.0,5.0,0 days 00:14:50
24.453497,121.374886,1725.0,2023-10-14 02:09:10+00:00,575.6990978518031,160.0,5.0,0 days 00:15:05
24.453545,121.37479,1726.0,2023-10-14 02:10:29+00:00,586.7980749562355,161.0,5.0,0 days 00:16:24
24.453548,121.37467,1727.0,2023-10-14 02:10:56+00:00,598.9627739561996,162.0,5.0,0 days 00:16:51
24.453556,121.37453,1726.0,2023-10-14 02:11:11+00:00,613.1774974595235,162.0,6.0,0 days 00:17:06
24.453587,121.3744,1727.0,2023-10-14 02:11:26+00:00,626.795454166339,163.0,6.0,0 days 00:17:21
