lat,lon,ele,time,cum_dist,cum_up,cum_down,cum_time
24.39691,121.307495,1889.0,2020-09-13 19:47:37+00:00,0.0,0.0,0.0,0 days 00:00:00
24.396936,121.30765,1887.0,2020-09-13 19:48:07+00:00,15.978192752854085,0.0,2.0,0 days 00:00:30
24.396933,121.30771,1887.0,2020-09-13 19:48:17+00:00,22.07013939510221,0.0,2.0,0 days 00:00:40
24.39698,121.30773,1887.0,2020-09-13 19:48:57+00:00,27.681323215335354,0.0,2.0,0 days 00:01:20
24.397089,121.30801,1880.0,2020-09-13 19:49:12+00:00,58.55224389975757,0.0,9.0,0 days 00:01:35
24.39725,121.30798,1882.0,2020-09-13 19:49:22+00:00,76.73098862752599,2.0,9.0,0 days 00:01:45
24.397358,121.30797,1881.0,2020-09-13 19:49:32+00:00,88.79621670773847,2.0,10.0,0 days 00:01:55
24.397429,121.30796,1881.0,2020-09-13 19:49:37+00:00,96.76469009043626,2.0,10.0,0 days 00:02:00
24.397503,121.307884,1882.0,2020-09-13 19:49:47+00:00,108.0440417254207,3.0,10.0,0 days 00:02:10
24.397524,121.30784,1883.0,2020-09-13 19:49:52+00:00,113.08017945499114,4.0,10.0,0 days 00:02:15
24.39756,121.3078,1883.0,2020-09-13 19:49:57+00:00,118.78146258403213,4.0,10.0,0 days 00:02:20
24.39763,121.307755,1882.0,2020-09-13 19:50:07+00:00,127.81107720535745,4.0,11.0,0 days 00:02:30
24.39773,121.30778,1879.0,2020-09-13 19:50:17+00:00,139.22795106380377,4.0,14.0,0 days 00:02:40
24.397741,121.30783,1878.0,2020-09-13 19:50:32+00:00,144.44271524526812,4.0,15.0,0 days 00:02:55
24.39784,121.30785,1875.0,2020-09-13 19:51:47+00:00,155.64836001385459,4.0,18.0,0 days 00:04:10
24.397884,121.307846,1875.0,2020-09-13 19:52:12+00:00,160.5631978529015,4.0,18.0,0 days 00:04:35
24.397964,121.307884,1873.0,2020-09-13 19:52:17+00:00,170.2663264271884,4.0,20.0,0 days 00:04:40
24.39816,121.307945,1874.0,2020-09-13 19:52:27+00:00,192.94450459534775,5.0,20.0,0 days 00:04:50
24.39825,121.307945,1877.0,2020-09-13 19:52:32+00:00,202.96330459536395,8.0,20.0,0 days 00:04:55
24.398355,121.30789,1881.0,2020-09-13 19:52:42+00:00,215.91371823745598,12.0,20.0,0 days 00:05:05
24.398396,121.30793,1882.0,2020-09-13 19:53:02+00:00,222.01907548634009,13.0,20.0,0 days 00:05:25
24.398684,121.30814,1888.0,2020-09-13 19:53:23+00:00,260.5040832729215,19.0,20.0,0 days 00:05:46
24.398771,121.30822,1889.0,2020-09-13 19:53:33+00:00,273.13628586363774,20.0,20.0,0 days 00:05:56
24.39882,121.30823,1889.0,2020-09-13 19:53:43+00:00,278.68437466081247,20.0,20.0,0 days 00:06:06
24.39895,121.308235,1891.0,2020-09-13 19:53:53+00:00,293.16484927464177,22.0,20.0,0 days 00:06:16
24.39902,121.308235,1892.0,2020-09-13 19:54:12+00:00,300.95724927474225,23.0,20.0,0 days 00:06:35
24.399168,121.308266,1893.0,2020-09-13 19:54:23+00:00,317.7296721721509,24.0,20.0,0 days 00:06:46
24.399307,121.30812,1896.0,2020-09-13 19:54:33+00:00,339.1423644662658,27.0,20.0,0 days 00:06:56
24.399353,121.30806,1897.0,2020-09-13 19:54:54+00:00,347.093506184,28.0,20.0,0 days 00:07:17
24.399426,121.30798,1898.0,2020-09-13 19:55:03+00:00,358.5745102267854,29.0,20.0,0 days 00:07:26
24.39954,121.30789,1900.0,2020-09-13 19:55:13+00:00,374.20446748388713,31.0,20.0,0 days 00:07:36
24.399605,121.30784,1902.0,2020-09-13 19:55:22+00:00,383.0390795609542,33.0,20.0,0 days 00:07:45
24.399656,121.30781,1902.0,2020-09-13 19:55:27+00:00,389.47970365259965,33.0,20.0,0 days 00:07:50
24.39976,121.30773,1904.0,2020-09-13 19:55:38+00:00,403.6150779833751,35.0,20.0,0 days 00:08:01
24.399817,121.30769,1905.0,2020-09-13 19:55:58+00:00,411.14540988340434,36.0,20.0,0 days 00:08:21
24.399942,121.30761,1906.0,2020-09-13 19:56:08+00:00,427.2513852235341,37.0,20.0,0 days 00:08:31
24.400114,121.307526,1907.0,2020-09-13 19:56:18+00:00,448.20672217170613,38.0,20.0,0 days 00:08:41
24.40015,121.307495,1908.0,2020-09-13 19:56:39+00:00,453.2995344533093,39.0,20.0,0 days 00:09:02
