lat,lon,ele,time
24.397526,121.30702,1899.0,2022-07-21 19:00:49+00:00
24.397209,121.306915,1899.0,2022-07-21 19:03:18+00:00
24.396892,121.307373,1900.4,2022-07-21 19:04:57+00:00
24.397081,121.307954,1900.7,2022-07-21 19:06:37+00:00
24.397487,121.307933,1900.7,2022-07-21 19:08:16+00:00
24.397662,121.307742,1901.0,2022-07-21 19:09:55+00:00
24.399099,121.308315,1911.1,2022-07-21 19:14:03+00:00
24.400384,121.307369,1920.9,2022-07-21 19:18:11+00:00
24.401183,121.306979,1929.9,2022-07-21 19:22:20+00:00
24.401948,121.306937,1937.6,2022-07-21 19:26:28+00:00
24.402744,121.307189,1944.9,2022-07-21 19:28:57+00:00
24.404258,121.307361,1967.8,2022-07-21 19:33:05+00:00
24.405194,121.307607,1987.0,2022-07-21 19:38:52+00:00
24.405398,121.308377,1990.8,2022-07-21 19:53:59+00:00
24.405626,121.308748,1989.4,2022-07-21 19:56:31+00:00
24.405906,121.308636,1989.2,2022-07-21 19:59:02+00:00
24.406572,121.309078,1986.9,2022-07-21 20:01:34+00:00
24.406911,121.309487,1988.5,2022-07-21 20:06:37+00:00
24.407483,121.309609,1995.4,2022-07-21 20:09:09+00:00
24.407665,121.309535,1998.8,2022-07-21 20:11:40+00:00
24.408112,121.31031,2017.8,2022-07-21 20:14:12+00:00
24.408494,121.310223,2029.3,2022-07-21 20:16:43+00:00
24.409465,121.310962,2073.8,2022-07-21 20:19:15+00:00
24.409381,121.311337,2085.7,2022-07-21 20:21:46+00:00
24.409775,121.311558,2102.4,2022-07-21 20:24:18+00:00
24.410564,121.311149,2148.9,2022-07-21 20:29:21+00:00
24.411122,121.310978,2174.8,2022-07-21 20:34:24+00:00
24.411226,121.311045,2180.1,2022-07-21 20:36:56+00:00
24.411569,121.310792,2207.5,2022-07-21 20:44:30+00:00
24.411618,121.310842,2212.0,2022-07-21 20:47:02+00:00
24.411701,121.310688,2216.7,2022-07-21 20:49:34+00:00
24.411821,121.310715,2221.3,2022-07-21 20:52:05+00:00
24.412085,121.310488,2236.9,2022-07-21 20:57:08+00:00
24.412148,121.3103,2247.6,2022-07-21 20:59:40+00:00
24.412264,121.310302,2253.3,2022-07-21 21:02:11+00:00
24.412318,121.310126,2259.7,2022-07-21 21:04:43+00:00
24.412404,121.310188,2266.2,2022-07-21 21:07:15+00:00
24.412424,121.310065,2272.9,2022-07-21 21:09:46+00:00
24.412697,121.30991,2294.2,2022-07-21 21:12:18+00:00
24.412715,121.309769,2300.7,2022-07-21 21:14:49+00:00
24.412912,121.309689,2314.5,2022-07-21 21:19:52+00:00
24.413322,121.309159,2350.9,2022-07-21 21:29:59+00:00
24.413425,121.309184,2355.9,2022-07-21 21:32:30+00:00
24.41348,121.309009,2360.7,2022-07-21 21:35:02+00:00
24.413547,121.309104,2365.2,2022-07-21 21:37:33+00:00
24.413612,121.308922,2376.7,2022-07-21 21:45:08+00:00
24.413852,121.308814,2384.9,2022-07-21 21:50:11+00:00
24.413831,121.30874,2387.1,2022-07-21 21:52:43+00:00
24.414733,121.308368,2410.2,2022-07-21 21:55:14+00:00
24.414767,121.308218,2413.1,2022-07-21 21:57:46+00:00
