lat,lon,ele,time
24.396953,121.30772,1897.6,2020-07-15 21:52:58+00:00
24.396959,121.307735,1897.5,2020-07-15 21:53:00+00:00
24.396967,121.307754,1897.4,2020-07-15 21:53:02+00:00
24.396971,121.307761,1897.3,2020-07-15 21:53:03+00:00
24.39698,121.307783,1897.2,2020-07-15 21:53:06+00:00
24.396994,121.307805,1897.0,2020-07-15 21:53:07+00:00
24.39702,121.307818,1896.8,2020-07-15 21:53:09+00:00
24.397026,121.307803,1896.7,2020-07-15 21:53:11+00:00
24.39703,121.307802,1896.7,2020-07-15 21:53:12+00:00
24.397031,121.30781,1896.6,2020-07-15 21:53:14+00:00
24.397034,121.307819,1896.6,2020-07-15 21:53:15+00:00
24.39704,121.30783,1896.5,2020-07-15 21:53:16+00:00
24.397047,121.307841,1896.4,2020-07-15 21:53:17+00:00
24.397055,121.307855,1896.3,2020-07-15 21:53:19+00:00
24.397064,121.307866,1896.2,2020-07-15 21:53:20+00:00
24.397071,121.307876,1896.1,2020-07-15 21:53:21+00:00
24.397083,121.307889,1896.0,2020-07-15 21:53:22+00:00
24.397094,121.307899,1895.9,2020-07-15 21:53:24+00:00
24.397104,121.307908,1895.8,2020-07-15 21:53:25+00:00
24.397127,121.307925,1895.5,2020-07-15 21:53:27+00:00
24.397141,121.307934,1895.4,2020-07-15 21:53:29+00:00
24.397153,121.30794,1895.3,2020-07-15 21:53:30+00:00
24.397163,121.307943,1895.2,2020-07-15 21:53:31+00:00
24.397174,121.307948,1895.1,2020-07-15 21:53:33+00:00
24.397184,121.307948,1895.1,2020-07-15 21:53:34+00:00
24.397204,121.307953,1894.9,2020-07-15 21:53:35+00:00
24.397212,121.307955,1894.8,2020-07-15 21:53:37+00:00
24.397221,121.307957,1894.7,2020-07-15 21:53:38+00:00
24.397242,121.307957,1894.5,2020-07-15 21:53:39+00:00
24.397253,121.307956,1894.4,2020-07-15 21:53:41+00:00
24.397263,121.307955,1894.3,2020-07-15 21:53:42+00:00
24.397275,121.307953,1894.2,2020-07-15 21:53:44+00:00
24.397288,121.307952,1894.0,2020-07-15 21:53:45+00:00
24.397298,121.307951,1893.9,2020-07-15 21:53:46+00:00
24.397309,121.30795,1893.8,2020-07-15 21:53:47+00:00
24.397328,121.307948,1893.7,2020-07-15 21:53:49+00:00
24.39734,121.307947,1893.5,2020-07-15 21:53:50+00:00
24.397353,121.307935,1893.4,2020-07-15 21:53:51+00:00
24.397364,121.307923,1893.2,2020-07-15 21:53:53+00:00
24.397372,121.307921,1893.1,2020-07-15 21:53:54+00:00
24.397383,121.307919,1893.0,2020-07-15 21:53:55+00:00
24.397395,121.307923,1892.9,2020-07-15 21:53:57+00:00
24.397405,121.307934,1892.8,2020-07-15 21:53:58+00:00
24.39741,121.307943,1892.7,2020-07-15 21:53:59+00:00
24.397417,121.307957,1892.6,2020-07-15 21:54:01+00:00
24.397423,121.30797,1892.5,2020-07-15 21:54:02+00:00
24.397429,121.307976,1892.4,2020-07-15 21:54:03+00:00
24.397439,121.307978,1892.3,2020-07-15 21:54:04+00:00
24.397445,121.307981,1892.2,2020-07-15 21:54:05+00:00
24.397454,121.307984,1892.1,2020-07-15 21:54:06+00:00
24.397462,121.307986,1892.1,2020-07-15 21:54:07+00:00
24.397472,121.307987,1892.0,2020-07-15 21:54:09+00:00
24.397485,121.307985,1891.9,2020-07-15 21:54:10+00:00
24.397495,121.307982,1891.8,2020-07-15 21:54:11+00:00
24.397506,121.307977,1891.6,2020-07-15 21:54:12+00:00
24.397518,121.30797,1891.5,2020-07-15 21:54:13+00:00
24.397531,121.307957,1891.3,2020-07-15 21:54:14+00:00
24.397541,121.307946,1891.2,2020-07-15 21:54:15+00:00
24.397554,121.307936,1891.0,2020-07-15 21:54:17+00:00
24.397569,121.307924,1890.8,2020-07-15 21:54:18+00:00
24.397592,121.307906,1890.5,2020-07-15 21:54:20+00:00
24.397598,121.3079,1890.4,2020-07-15 21:54:21+00:00
24.39761,121.307888,1890.2,2020-07-15 21:54:22+00:00
24.397618,121.307876,1890.1,2020-07-15 21:54:23+00:00
24.397628,121.307868,1889.9,2020-07-15 21:54:24+00:00
24.397637,121.307861,1889.8,2020-07-15 21:54:26+00:00
24.397647,121.307856,1889.7,2020-07-15 21:54:27+00:00
24.397664,121.307849,1889.5,2020-07-15 21:54:28+00:00
24.397673,121.307846,1889.4,2020-07-15 21:54:29+00:00
24.397686,121.307842,1889.2,2020-07-15 21:54:31+00:00
24.397701,121.307842,1889.1,2020-07-15 21:54:32+00:00
24.397717,121.307845,1888.9,2020-07-15 21:54:34+00:00
24.39773,121.307848,1888.8,2020-07-15 21:54:35+00:00
24.397742,121.307843,1888.6,2020-07-15 21:54:37+00:00
24.397753,121.307841,1888.5,2020-07-15 21:54:38+00:00
24.397758,121.307837,1888.5,2020-07-15 21:54:39+00:00
24.397767,121.30783,1888.4,2020-07-15 21:54:41+00:00
24.397772,121.307828,1888.3,2020-07-15 21:54:42+00:00
24.397777,121.307826,1888.3,2020-07-15 21:54:43+00:00
24.397783,121.307823,1888.2,2020-07-15 21:54:45+00:00
24.397788,121.307821,1888.2,2020-07-15 21:54:47+00:00
24.397793,121.307819,1888.1,2020-07-15 21:54:48+00:00
24.397798,121.307817,1888.1,2020-07-15 21:54:50+00:00
24.397803,121.307815,1888.1,2020-07-15 21:54:51+00:00
24.397808,121.307813,1888.0,2020-07-15 21:54:53+00:00
24.397813,121.307811,1888.0,2020-07-15 21:54:55+00:00
24.397819,121.307808,1887.9,2020-07-15 21:54:56+00:00
24.397824,121.307806,1887.9,2020-07-15 21:54:57+00:00
24.397829,121.307804,1887.9,2020-07-15 21:54:58+00:00
24.397834,121.307802,1887.9,2020-07-15 21:54:59+00:00
24.397842,121.307804,1887.8,2020-07-15 21:55:01+00:00
24.397854,121.307803,1887.7,2020-07-15 21:55:02+00:00
24.397861,121.307804,1887.7,2020-07-15 21:55:03+00:00
24.39786,121.30781,1887.7,2020-07-15 21:55:04+00:00
24.397876,121.307813,1887.6,2020-07-15 21:55:05+00:00
24.39789,121.307818,1887.5,2020-07-15 21:55:06+00:00
24.397907,121.307826,1887.5,2020-07-15 21:55:08+00:00
24.397919,121.307832,1887.4,2020-07-15 21:55:09+00:00
24.397941,121.307843,1887.7,2020-07-15 21:55:10+00:00
24.397953,121.307848,1887.8,2020-07-15 21:55:11+00:00
24.397982,121.307856,1888.1,2020-07-15 21:55:13+00:00
24.39799,121.307859,1888.2,2020-07-15 21:55:14+00:00
24.398007,121.307867,1888.4,2020-07-15 21:55:16+00:00
24.398021,121.307875,1888.6,2020-07-15 21:55:17+00:00
24.398032,121.307879,1888.7,2020-07-15 21:55:18+00:00
24.398061,121.307885,1889.0,2020-07-15 21:55:20+00:00
24.398065,121.307869,1889.1,2020-07-15 21:55:22+00:00
24.398067,121.30786,1889.2,2020-07-15 21:55:23+00:00
24.398067,121.307854,1889.2,2020-07-15 21:55:24+00:00
24.398063,121.307853,1889.3,2020-07-15 21:55:25+00:00
24.398057,121.307851,1889.3,2020-07-15 21:55:26+00:00
24.398056,121.307847,1889.4,2020-07-15 21:55:28+00:00
24.398051,121.307838,1889.4,2020-07-15 21:55:30+00:00
24.398049,121.307835,1889.5,2020-07-15 21:55:31+00:00
24.398044,121.307835,1889.5,2020-07-15 21:55:33+00:00
24.398043,121.307835,1889.5,2020-07-15 21:55:34+00:00
24.398039,121.307836,1889.6,2020-07-15 21:55:36+00:00
24.398037,121.307838,1889.6,2020-07-15 21:55:38+00:00
24.398035,121.30784,1889.6,2020-07-15 21:55:40+00:00
