lat,lon,ele,time
24.397575,121.307844,1893.8,2023-04-21 22:58:14+00:00
24.39761,121.307819,1888.7,2023-04-21 22:58:18+00:00
24.397639,121.307788,1891.5,2023-04-21 22:58:22+00:00
24.397668,121.307762,1892.9,2023-04-21 22:58:26+00:00
24.397693,121.307731,1893.2,2023-04-21 22:58:30+00:00
24.397745,121.307743,1892.5,2023-04-21 22:58:34+00:00
24.397817,121.307795,1884.6,2023-04-21 22:58:38+00:00
24.397836,121.307806,1884.0,2023-04-21 22:58:42+00:00
24.39786,121.307818,1882.9,2023-04-21 22:58:46+00:00
24.397898,121.307825,1881.0,2023-04-21 22:58:50+00:00
24.397936,121.30784,1879.3,2023-04-21 22:58:54+00:00
24.397975,121.307856,1878.8,2023-04-21 22:58:58+00:00
24.398011,121.307874,1878.2,2023-04-21 22:59:02+00:00
24.398048,121.307891,1877.9,2023-04-21 22:59:06+00:00
24.398071,121.307903,1878.6,2023-04-21 22:59:10+00:00
24.398112,121.307926,1878.2,2023-04-21 22:59:14+00:00
24.398149,121.307939,1877.5,2023-04-21 22:59:18+00:00
24.39818,121.307955,1877.6,2023-04-21 22:59:22+00:00
24.398196,121.307957,1878.7,2023-04-21 22:59:25+00:00
24.398225,121.307963,1877.4,2023-04-21 22:59:29+00:00
24.398257,121.307969,1878.4,2023-04-21 22:59:33+00:00
24.398284,121.307976,1879.0,2023-04-21 22:59:37+00:00
24.398311,121.307986,1880.4,2023-04-21 22:59:41+00:00
24.398344,121.307997,1882.0,2023-04-21 22:59:45+00:00
24.398383,121.308018,1883.2,2023-04-21 22:59:49+00:00
24.398419,121.308034,1885.1,2023-04-21 22:59:53+00:00
24.398447,121.308058,1887.5,2023-04-21 22:59:57+00:00
24.398478,121.308072,1888.1,2023-04-21 23:00:01+00:00
24.398513,121.308091,1888.3,2023-04-21 23:00:05+00:00
24.398544,121.30811,1888.6,2023-04-21 23:00:09+00:00
24.398579,121.30812,1889.2,2023-04-21 23:00:13+00:00
24.398613,121.308139,1889.1,2023-04-21 23:00:18+00:00
24.398651,121.308153,1890.5,2023-04-21 23:00:22+00:00
24.398671,121.308161,1891.3,2023-04-21 23:00:25+00:00
24.398699,121.308186,1891.9,2023-04-21 23:00:28+00:00
24.398721,121.308202,1893.5,2023-04-21 23:00:31+00:00
24.398761,121.308208,1895.2,2023-04-21 23:00:35+00:00
24.398798,121.308215,1895.9,2023-04-21 23:00:39+00:00
24.398835,121.308226,1896.3,2023-04-21 23:00:43+00:00
24.398867,121.30824,1897.3,2023-04-21 23:00:47+00:00
24.398904,121.308263,1898.2,2023-04-21 23:00:51+00:00
24.39895,121.308264,1898.9,2023-04-21 23:00:55+00:00
24.398971,121.308262,1898.7,2023-04-21 23:00:59+00:00
24.398982,121.308258,1898.8,2023-04-21 23:01:04+00:00
24.398972,121.308259,1896.8,2023-04-21 23:01:09+00:00
24.398963,121.308265,1896.9,2023-04-21 23:01:14+00:00
24.398953,121.308261,1896.2,2023-04-21 23:01:18+00:00
24.398947,121.308253,1896.7,2023-04-21 23:01:24+00:00
24.398952,121.308234,1898.0,2023-04-21 23:01:28+00:00
24.398942,121.308232,1898.5,2023-04-21 23:01:32+00:00
24.398936,121.308225,1898.8,2023-04-21 23:01:44+00:00
24.398947,121.308224,1896.6,2023-04-21 23:01:55+00:00
24.398957,121.308229,1896.3,2023-04-21 23:02:19+00:00
24.398952,121.308239,1896.9,2023-04-21 23:02:24+00:00
24.398955,121.308248,1895.9,2023-04-21 23:02:30+00:00
24.398961,121.308258,1896.6,2023-04-21 23:02:33+00:00
24.398958,121.308247,1899.2,2023-04-21 23:02:42+00:00
24.398969,121.308243,1898.7,2023-04-21 23:02:46+00:00
24.398978,121.30825,1898.3,2023-04-21 23:02:54+00:00
24.398967,121.308249,1899.7,2023-04-21 23:03:03+00:00
24.398957,121.308239,1899.0,2023-04-21 23:03:15+00:00
24.398962,121.308221,1898.1,2023-04-21 23:03:19+00:00
24.39896,121.308234,1898.2,2023-04-21 23:03:23+00:00
24.39897,121.308266,1898.0,2023-04-21 23:03:27+00:00
24.39898,121.308271,1898.0,2023-04-21 23:03:31+00:00
24.398987,121.308279,1899.3,2023-04-21 23:03:34+00:00
24.399001,121.30828,1899.1,2023-04-21 23:03:38+00:00
24.39902,121.308308,1898.6,2023-04-21 23:03:42+00:00
24.399058,121.308315,1898.8,2023-04-21 23:03:46+00:00
24.399089,121.308334,1898.5,2023-04-21 23:03:50+00:00
24.399117,121.308329,1900.5,2023-04-21 23:03:54+00:00
24.39916,121.308335,1900.9,2023-04-21 23:03:58+00:00
24.399194,121.308324,1901.7,2023-04-21 23:04:02+00:00
24.399224,121.308298,1902.3,2023-04-21 23:04:06+00:00
24.399239,121.308279,1901.6,2023-04-21 23:04:10+00:00
24.399256,121.308256,1901.4,2023-04-21 23:04:14+00:00
24.399274,121.308215,1900.8,2023-04-21 23:04:18+00:00
24.399294,121.308176,1900.8,2023-04-21 23:04:22+00:00
24.39931,121.308149,1900.0,2023-04-21 23:04:26+00:00
24.399327,121.30814,1900.3,2023-04-21 23:04:30+00:00
24.399356,121.308117,1900.2,2023-04-21 23:04:33+00:00
24.399382,121.308103,1900.0,2023-04-21 23:04:36+00:00
24.3994,121.308082,1901.3,2023-04-21 23:04:39+00:00
24.399415,121.308069,1901.6,2023-04-21 23:04:42+00:00
24.399443,121.30805,1901.1,2023-04-21 23:04:46+00:00
24.399483,121.308022,1904.7,2023-04-21 23:04:50+00:00
24.399526,121.307993,1905.4,2023-04-21 23:04:54+00:00
24.399562,121.30797,1906.1,2023-04-21 23:04:58+00:00
24.399595,121.307944,1907.7,2023-04-21 23:05:02+00:00
24.399632,121.307912,1908.4,2023-04-21 23:05:06+00:00
24.399662,121.307887,1910.7,2023-04-21 23:05:10+00:00
24.399691,121.307865,1913.0,2023-04-21 23:05:14+00:00
24.399714,121.307847,1914.0,2023-04-21 23:05:18+00:00
24.399743,121.307808,1914.8,2023-04-21 23:05:22+00:00
24.39977,121.307777,1917.3,2023-04-21 23:05:26+00:00
24.399802,121.307748,1917.6,2023-04-21 23:05:30+00:00
24.399835,121.307717,1917.8,2023-04-21 23:05:34+00:00
24.399861,121.307691,1919.0,2023-04-21 23:05:37+00:00
24.399875,121.307673,1918.7,2023-04-21 23:05:41+00:00
24.399919,121.307642,1918.6,2023-04-21 23:05:45+00:00
24.39994,121.307633,1918.3,2023-04-21 23:05:49+00:00
24.399969,121.307609,1918.0,2023-04-21 23:05:53+00:00
24.399988,121.307587,1918.4,2023-04-21 23:05:57+00:00
24.400019,121.307569,1919.2,2023-04-21 23:06:01+00:00
24.400042,121.307553,1920.6,2023-04-21 23:06:05+00:00
24.400065,121.307551,1920.7,2023-04-21 23:06:09+00:00
24.400106,121.307527,1920.6,2023-04-21 23:06:13+00:00
24.400134,121.307502,1920.8,2023-04-21 23:06:17+00:00
24.400175,121.307477,1921.2,2023-04-21 23:06:21+00:00
24.400211,121.307445,1921.6,2023-04-21 23:06:25+00:00
24.400244,121.307429,1922.7,2023-04-21 23:06:29+00:00
24.400281,121.307409,1923.0,2023-04-21 23:06:33+00:00
24.400304,121.307393,1923.5,2023-04-21 23:06:37+00:00
24.40033,121.307396,1924.2,2023-04-21 23:06:41+00:00
24.400358,121.307374,1924.1,2023-04-21 23:06:45+00:00
24.400384,121.307373,1924.3,2023-04-21 23:06:48+00:00
24.400418,121.30737,1923.9,2023-04-21 23:06:52+00:00
24.400458,121.307353,1924.1,2023-04-21 23:06:56+00:00
24.400494,121.30734,1924.2,2023-04-21 23:07:00+00:00
24.400531,121.307333,1925.8,2023-04-21 23:07:04+00:00
24.400571,121.30732,1927.1,2023-04-21 23:07:08+00:00
24.400606,121.307298,1927.7,2023-04-21 23:07:12+00:00
24.400645,121.307266,1928.4,2023-04-21 23:07:16+00:00
24.400682,121.307248,1927.9,2023-04-21 23:07:20+00:00
24.400707,121.307221,1929.0,2023-04-21 23:07:24+00:00
24.400735,121.307209,1929.5,2023-04-21 23:07:28+00:00
24.400757,121.307194,1929.2,2023-04-21 23:07:32+00:00
24.400798,121.307183,1929.4,2023-04-21 23:07:36+00:00
24.400836,121.307152,1929.8,2023-04-21 23:07:40+00:00
24.400865,121.307133,1930.6,2023-04-21 23:07:43+00:00
24.400898,121.307105,1931.4,2023-04-21 23:07:47+00:00
24.400937,121.307084,1932.3,2023-04-21 23:07:51+00:00
24.40099,121.307047,1932.6,2023-04-21 23:07:55+00:00
24.401024,121.307031,1933.6,2023-04-21 23:07:59+00:00
24.401061,121.307011,1934.5,2023-04-21 23:08:03+00:00
24.401101,121.306982,1935.3,2023-04-21 23:08:07+00:00
24.401136,121.306964,1936.0,2023-04-21 23:08:11+00:00
24.401162,121.306946,1935.7,2023-04-21 23:08:15+00:00
24.401198,121.306934,1936.2,2023-04-21 23:08:19+00:00
24.401224,121.30693,1937.1,2023-04-21 23:08:23+00:00
24.401247,121.306948,1938.0,2023-04-21 23:08:27+00:00
24.401241,121.307007,1937.9,2023-04-21 23:08:31+00:00
24.401266,121.306976,1937.0,2023-04-21 23:08:35+00:00
24.401298,121.306986,1937.1,2023-04-21 23:08:39+00:00
24.401325,121.306995,1937.9,2023-04-21 23:08:43+00:00
24.401351,121.307001,1938.0,2023-04-21 23:08:46+00:00
24.401384,121.307005,1938.2,2023-04-21 23:08:50+00:00
24.401418,121.306987,1937.5,2023-04-21 23:08:53+00:00
24.401453,121.307015,1937.1,2023-04-21 23:08:57+00:00
24.401493,121.306995,1936.7,2023-04-21 23:09:01+00:00
24.401541,121.306977,1937.0,2023-04-21 23:09:05+00:00
24.401576,121.306966,1938.4,2023-04-21 23:09:09+00:00
24.401609,121.306933,1939.7,2023-04-21 23:09:13+00:00
24.401634,121.306919,1940.2,2023-04-21 23:09:17+00:00
24.401666,121.306909,1942.2,2023-04-21 23:09:21+00:00
24.40169,121.306919,1942.9,2023-04-21 23:09:25+00:00
24.40173,121.306907,1943.6,2023-04-21 23:09:29+00:00
24.401775,121.306909,1944.0,2023-04-21 23:09:33+00:00
24.401817,121.306905,1944.6,2023-04-21 23:09:37+00:00
24.401846,121.30692,1944.7,2023-04-21 23:09:41+00:00
24.401881,121.3069,1944.6,2023-04-21 23:09:45+00:00
24.401914,121.306913,1944.5,2023-04-21 23:09:48+00:00
24.401946,121.30691,1944.3,2023-04-21 23:09:52+00:00
24.401987,121.306921,1943.6,2023-04-21 23:09:56+00:00
24.402025,121.306918,1943.8,2023-04-21 23:10:00+00:00
24.402063,121.306932,1943.1,2023-04-21 23:10:04+00:00
24.402094,121.306963,1942.6,2023-04-21 23:10:08+00:00
24.402125,121.306976,1942.4,2023-04-21 23:10:12+00:00
24.402157,121.306995,1943.8,2023-04-21 23:10:16+00:00
24.402194,121.307004,1944.8,2023-04-21 23:10:20+00:00
24.402224,121.307025,1945.8,2023-04-21 23:10:24+00:00
24.402261,121.30706,1946.7,2023-04-21 23:10:28+00:00
24.402292,121.307099,1946.7,2023-04-21 23:10:32+00:00
24.402324,121.307127,1947.2,2023-04-21 23:10:36+00:00
24.402354,121.307114,1946.4,2023-04-21 23:10:40+00:00
24.40239,121.307118,1946.4,2023-04-21 23:10:44+00:00
24.402411,121.307122,1946.3,2023-04-21 23:10:48+00:00
24.402438,121.307129,1946.3,2023-04-21 23:10:52+00:00
24.402461,121.307118,1945.9,2023-04-21 23:10:56+00:00
24.402512,121.307121,1945.1,2023-04-21 23:11:00+00:00
24.402547,121.307112,1946.2,2023-04-21 23:11:04+00:00
24.402587,121.307101,1947.8,2023-04-21 23:11:08+00:00
24.402629,121.307098,1948.5,2023-04-21 23:11:12+00:00
24.402669,121.307093,1948.5,2023-04-21 23:11:16+00:00
24.40271,121.307094,1949.9,2023-04-21 23:11:20+00:00
24.402754,121.307109,1950.8,2023-04-21 23:11:24+00:00
24.402784,121.307114,1950.6,2023-04-21 23:11:28+00:00
24.402815,121.307115,1951.1,2023-04-21 23:11:32+00:00
