lat,lon,ele,time
24.455881,121.37872,1570.0,2023-10-14 01:54:05+00:00
24.45579,121.378845,1575.0,2023-10-14 01:54:21+00:00
24.455662,121.3789,1577.0,2023-10-14 01:54:30+00:00
24.455568,121.37885,1580.0,2023-10-14 01:54:40+00:00
24.45553,121.378746,1582.0,2023-10-14 01:54:50+00:00
24.455545,121.37863,1583.0,2023-10-14 01:55:00+00:00
24.455559,121.37851,1581.0,2023-10-14 01:55:21+00:00
24.455442,121.37848,1586.0,2023-10-14 01:55:36+00:00
24.455345,121.37844,1590.0,2023-10-14 01:55:51+00:00
24.455235,121.37838,1595.0,2023-10-14 01:56:11+00:00
24.455141,121.37825,1599.0,2023-10-14 01:56:32+00:00
24.45511,121.378136,1600.0,2023-10-14 01:56:52+00:00
24.455036,121.378044,1604.0,2023-10-14 01:57:07+00:00
24.454927,121.378006,1608.0,2023-10-14 01:57:16+00:00
24.454863,121.37793,1611.0,2023-10-14 01:57:31+00:00
24.45496,121.37769,1609.0,2023-10-14 01:57:36+00:00
24.454664,121.37773,1623.0,2023-10-14 01:58:26+00:00
24.454674,121.377625,1626.0,2023-10-14 01:58:51+00:00
24.454659,121.3775,1630.0,2023-10-14 01:59:06+00:00
24.454592,121.3774,1634.0,2023-10-14 01:59:51+00:00
24.454544,121.377304,1638.0,2023-10-14 02:00:36+00:00
24.454515,121.37718,1642.0,2023-10-14 02:00:56+00:00
24.454472,121.37707,1648.0,2023-10-14 02:01:11+00:00
24.454473,121.37697,1649.0,2023-10-14 02:01:21+00:00
24.454388,121.376884,1653.0,2023-10-14 02:01:48+00:00
24.45432,121.3767,1656.0,2023-10-14 02:02:18+00:00
24.454296,121.37659,1657.0,2023-10-14 02:02:33+00:00
24.454226,121.37648,1660.0,2023-10-14 02:02:48+00:00
24.454174,121.37639,1663.0,2023-10-14 02:03:03+00:00
24.454119,121.3763,1664.0,2023-10-14 02:03:23+00:00
24.454052,121.37622,1666.0,2023-10-14 02:03:56+00:00
24.453966,121.37612,1671.0,2023-10-14 02:04:06+00:00
24.453957,121.37595,1678.0,2023-10-14 02:04:36+00:00
24.453981,121.37586,1681.0,2023-10-14 02:05:06+00:00
24.45404,121.37577,1680.0,2023-10-14 02:05:31+00:00
24.453953,121.37564,1688.0,2023-10-14 02:06:17+00:00
24.453846,121.375465,1698.0,2023-10-14 02:07:02+00:00
24.453777,121.3754,1702.0,2023-10-14 02:07:17+00:00
24.453693,121.37518,1713.0,2023-10-14 02:08:20+00:00
24.453554,121.37498,1724.0,2023-10-14 02:08:55+00:00
24.453497,121.374886,1725.0,2023-10-14 02:09:10+00:00
24.453545,121.37479,1726.0,2023-10-14 02:10:29+00:00
24.453548,121.37467,1727.0,2023-10-14 02:10:56+00:00
24.453556,121.37453,1726.0,2023-10-14 02:11:11+00:00
24.453587,121.3744,1727.0,2023-10-14 02:11:26+00:00
24.453592,121.37429,1727.0,2023-10-14 02:11:36+00:00
24.453587,121.37414,1727.0,2023-10-14 02:11:51+00:00
24.45363,121.37401,1727.0,2023-10-14 02:12:06+00:00
24.453686,121.37389,1726.0,2023-10-14 02:12:21+00:00
24.453737,121.3738,1723.0,2023-10-14 02:12:31+00:00
24.453775,121.37368,1721.0,2023-10-14 02:12:46+00:00
24.453815,121.37354,1720.0,2023-10-14 02:13:01+00:00
24.45382,121.37344,1718.0,2023-10-14 02:13:16+00:00
24.453844,121.37331,1716.0,2023-10-14 02:13:36+00:00
24.453876,121.37318,1715.0,2023-10-14 02:13:46+00:00
24.453888,121.37302,1712.0,2023-10-14 02:14:01+00:00
24.453909,121.37291,1711.0,2023-10-14 02:14:11+00:00
24.453938,121.3728,1709.0,2023-10-14 02:14:26+00:00
24.453953,121.37266,1710.0,2023-10-14 02:14:41+00:00
24.453978,121.37255,1711.0,2023-10-14 02:15:01+00:00
24.453976,121.372444,1712.0,2023-10-14 02:15:26+00:00
24.453983,121.37234,1715.0,2023-10-14 02:15:43+00:00
24.453972,121.37221,1718.0,2023-10-14 02:15:58+00:00
24.453997,121.3721,1721.0,2023-10-14 02:16:13+00:00
24.453999,121.37199,1724.0,2023-10-14 02:16:33+00:00
24.453999,121.37188,1726.0,2023-10-14 02:16:48+00:00
24.454039,121.37179,1728.0,2023-10-14 02:16:58+00:00
24.454102,121.37169,1731.0,2023-10-14 02:17:18+00:00
24.454138,121.37158,1733.0,2023-10-14 02:17:33+00:00
24.4542,121.37151,1734.0,2023-10-14 02:17:43+00:00
24.454235,121.3714,1735.0,2023-10-14 02:17:58+00:00
24.454222,121.37125,1734.0,2023-10-14 02:18:13+00:00
24.454245,121.37115,1733.0,2023-10-14 02:18:23+00:00
24.454203,121.371,1733.0,2023-10-14 02:18:38+00:00
24.454199,121.37088,1733.0,2023-10-14 02:18:48+00:00
24.45416,121.37075,1734.0,2023-10-14 02:19:03+00:00
24.45411,121.37062,1733.0,2023-10-14 02:19:18+00:00
24.454077,121.37048,1733.0,2023-10-14 02:19:33+00:00
24.454008,121.37041,1733.0,2023-10-14 02:19:48+00:00
24.453985,121.37028,1735.0,2023-10-14 02:20:03+00:00
24.45397,121.37016,1735.0,2023-10-14 02:20:23+00:00
24.453985,121.37004,1733.0,2023-10-14 02:20:38+00:00
24.453966,121.369934,1733.0,2023-10-14 02:20:58+00:00
24.454008,121.36984,1731.0,2023-10-14 02:21:13+00:00
24.454054,121.36975,1730.0,2023-10-14 02:21:28+00:00
24.454006,121.36965,1732.0,2023-10-14 02:21:48+00:00
24.45405,121.36953,1733.0,2023-10-14 02:22:03+00:00
24.454092,121.369415,1735.0,2023-10-14 02:22:18+00:00
24.454111,121.36929,1736.0,2023-10-14 02:22:38+00:00
24.454117,121.36917,1737.0,2023-10-14 02:22:53+00:00
24.45411,121.36907,1737.0,2023-10-14 02:23:03+00:00
24.454077,121.36892,1737.0,2023-10-14 02:23:18+00:00
24.454044,121.368805,1741.0,2023-10-14 02:23:33+00:00
24.454113,121.368614,1751.0,2023-10-14 02:24:13+00:00
24.454067,121.36851,1753.0,2023-10-14 02:25:05+00:00
24.454027,121.36841,1756.0,2023-10-14 02:25:30+00:00
24.454006,121.36828,1759.0,2023-10-14 02:25:50+00:00
24.453964,121.36815,1760.0,2023-10-14 02:26:10+00:00
24.453957,121.368004,1759.0,2023-10-14 02:26:25+00:00
24.45397,121.36791,1757.0,2023-10-14 02:26:35+00:00
24.454004,121.367805,1756.0,2023-10-14 02:26:50+00:00
24.454065,121.3677,1755.0,2023-10-14 02:27:05+00:00
24.454136,121.36762,1757.0,2023-10-14 02:27:20+00:00
24.454226,121.36753,1761.0,2023-10-14 02:27:40+00:00
24.454298,121.36747,1765.0,2023-10-14 02:27:55+00:00
24.454329,121.36733,1770.0,2023-10-14 02:28:15+00:00
24.454342,121.36722,1775.0,2023-10-14 02:28:57+00:00
24.454308,121.3671,1772.0,2023-10-14 02:29:07+00:00
24.45433,121.367,1774.0,2023-10-14 02:29:22+00:00
24.454334,121.36687,1772.0,2023-10-14 02:29:37+00:00
24.454357,121.36673,1770.0,2023-10-14 02:29:52+00:00
24.454319,121.36662,1767.0,2023-10-14 02:30:02+00:00
24.454302,121.366516,1766.0,2023-10-14 02:30:12+00:00
24.45426,121.3664,1766.0,2023-10-14 02:30:27+00:00
24.45416,121.366325,1767.0,2023-10-14 02:30:42+00:00
24.454094,121.36623,1765.0,2023-10-14 02:31:03+00:00
24.453972,121.36615,1765.0,2023-10-14 02:31:18+00:00
24.453903,121.366066,1765.0,2023-10-14 02:31:28+00:00
24.4538,121.36597,1763.0,2023-10-14 02:31:38+00:00
24.453684,121.36594,1761.0,2023-10-14 02:31:48+00:00
24.453566,121.36585,1759.0,2023-10-14 02:32:03+00:00
24.453524,121.36575,1758.0,2023-10-14 02:32:13+00:00
24.453444,121.3657,1756.0,2023-10-14 02:32:23+00:00
24.453375,121.36562,1756.0,2023-10-14 02:32:33+00:00
24.453283,121.36553,1757.0,2023-10-14 02:32:58+00:00
24.45322,121.365456,1758.0,2023-10-14 02:33:08+00:00
24.453127,121.36535,1760.0,2023-10-14 02:33:38+00:00
24.45305,121.36526,1763.0,2023-10-14 02:33:53+00:00
24.453014,121.36515,1765.0,2023-10-14 02:34:08+00:00
24.452942,121.36508,1766.0,2023-10-14 02:34:18+00:00
24.45294,121.36498,1769.0,2023-10-14 02:34:28+00:00
24.452885,121.36488,1770.0,2023-10-14 02:35:21+00:00
24.452843,121.3648,1772.0,2023-10-14 02:35:36+00:00
24.452766,121.36472,1775.0,2023-10-14 02:35:46+00:00
24.452684,121.36468,1775.0,2023-10-14 02:35:56+00:00
24.452595,121.36464,1775.0,2023-10-14 02:36:06+00:00
24.452513,121.36454,1775.0,2023-10-14 02:36:16+00:00
24.452429,121.36449,1776.0,2023-10-14 02:36:26+00:00
24.452356,121.3644,1777.0,2023-10-14 02:36:36+00:00
24.45225,121.364426,1779.0,2023-10-14 02:36:51+00:00
24.452154,121.36443,1779.0,2023-10-14 02:37:11+00:00
24.452047,121.36437,1780.0,2023-10-14 02:37:21+00:00
24.451956,121.36433,1780.0,2023-10-14 02:37:31+00:00
24.451843,121.3643,1781.0,2023-10-14 02:37:46+00:00
24.451777,121.364235,1781.0,2023-10-14 02:38:01+00:00
24.451664,121.36418,1783.0,2023-10-14 02:38:16+00:00
24.451565,121.36417,1784.0,2023-10-14 02:38:36+00:00
24.45152,121.36426,1784.0,2023-10-14 02:38:53+00:00
24.45157,121.364365,1782.0,2023-10-14 02:39:03+00:00
24.451462,121.364365,1784.0,2023-10-14 02:40:05+00:00
24.451452,121.36426,1785.0,2023-10-14 02:41:42+00:00
24.45152,121.36417,1785.0,2023-10-14 02:41:52+00:00
24.451523,121.36405,1784.0,2023-10-14 02:42:02+00:00
24.451542,121.36395,1784.0,2023-10-14 02:42:12+00:00
24.451506,121.36386,1784.0,2023-10-14 02:42:32+00:00
24.451435,121.36379,1786.0,2023-10-14 02:42:42+00:00
24.45146,121.36369,1786.0,2023-10-14 02:42:57+00:00
24.451468,121.363556,1786.0,2023-10-14 02:43:12+00:00
24.451416,121.36346,1788.0,2023-10-14 02:43:27+00:00
24.45138,121.36336,1790.0,2023-10-14 02:43:42+00:00
24.45135,121.363235,1794.0,2023-10-14 02:43:57+00:00
24.451334,121.36313,1796.0,2023-10-14 02:44:12+00:00
24.451345,121.363014,1798.0,2023-10-14 02:44:32+00:00
24.451385,121.36291,1799.0,2023-10-14 02:44:47+00:00
24.451437,121.36282,1798.0,2023-10-14 02:44:57+00:00
24.451492,121.36272,1796.0,2023-10-14 02:45:12+00:00
24.451523,121.36258,1796.0,2023-10-14 02:45:27+00:00
24.451584,121.36249,1793.0,2023-10-14 02:45:37+00:00
24.451683,121.362404,1788.0,2023-10-14 02:45:47+00:00
24.45153,121.362236,1798.0,2023-10-14 02:46:07+00:00
24.45151,121.36209,1799.0,2023-10-14 02:46:27+00:00
24.451515,121.36197,1798.0,2023-10-14 02:46:42+00:00
24.451443,121.36187,1802.0,2023-10-14 02:46:57+00:00
24.451496,121.361755,1800.0,2023-10-14 02:47:07+00:00
24.451565,121.36166,1797.0,2023-10-14 02:47:22+00:00
24.4515,121.36154,1802.0,2023-10-14 02:47:32+00:00
24.451496,121.36144,1803.0,2023-10-14 02:47:47+00:00
24.451466,121.361336,1806.0,2023-10-14 02:48:02+00:00
24.451471,121.36123,1807.0,2023-10-14 02:48:17+00:00
24.45147,121.36113,1809.0,2023-10-14 02:48:37+00:00
24.451534,121.36102,1807.0,2023-10-14 02:48:47+00:00
24.451483,121.360916,1810.0,2023-10-14 02:49:02+00:00
24.451427,121.36082,1813.0,2023-10-14 02:49:17+00:00
24.451303,121.36076,1815.0,2023-10-14 02:49:32+00:00
24.451246,121.36068,1815.0,2023-10-14 02:49:47+00:00
24.45115,121.360634,1815.0,2023-10-14 02:50:02+00:00
24.451054,121.360634,1815.0,2023-10-14 02:50:12+00:00
24.451004,121.36054,1814.0,2023-10-14 02:50:22+00:00
24.45096,121.36042,1813.0,2023-10-14 02:50:32+00:00
24.450867,121.36036,1813.0,2023-10-14 02:50:52+00:00
24.450775,121.36026,1812.0,2023-10-14 02:51:07+00:00
24.450684,121.36016,1810.0,2023-10-14 02:51:22+00:00
24.450642,121.360054,1808.0,2023-10-14 02:51:37+00:00
24.450708,121.359924,1806.0,2023-10-14 02:51:52+00:00
24.450758,121.359825,1803.0,2023-10-14 02:52:07+00:00
24.450823,121.35971,1801.0,2023-10-14 02:52:27+00:00
24.450853,121.359604,1796.0,2023-10-14 02:52:52+00:00
24.450926,121.35954,1793.0,2023-10-14 02:53:07+00:00
24.450972,121.35945,1788.0,2023-10-14 02:53:28+00:00
24.450989,121.35933,1783.0,2023-10-14 02:54:14+00:00
24.450993,121.359215,1778.0,2023-10-14 02:54:39+00:00
24.450905,121.35918,1781.0,2023-10-14 02:55:24+00:00
24.450851,121.35905,1782.0,2023-10-14 02:56:10+00:00
24.450783,121.35893,1784.0,2023-10-14 02:56:51+00:00
24.450768,121.3588,1784.0,2023-10-14 02:57:25+00:00
24.45075,121.35868,1784.0,2023-10-14 02:57:51+00:00
24.450758,121.358574,1783.0,2023-10-14 02:58:11+00:00
24.450687,121.35848,1788.0,2023-10-14 02:58:31+00:00
24.450556,121.358315,1798.0,2023-10-14 02:59:16+00:00
24.450542,121.35818,1796.0,2023-10-14 02:59:36+00:00
24.450531,121.35808,1794.0,2023-10-14 02:59:51+00:00
24.450487,121.35796,1793.0,2023-10-14 03:00:11+00:00
24.450436,121.35788,1792.0,2023-10-14 03:00:26+00:00
24.450449,121.35778,1788.0,2023-10-14 03:01:17+00:00
24.45034,121.357796,1791.0,2023-10-14 03:02:28+00:00
24.450241,121.35782,1794.0,2023-10-14 03:02:53+00:00
24.450153,121.35776,1794.0,2023-10-14 03:03:03+00:00
24.45004,121.35773,1795.0,2023-10-14 03:03:33+00:00
24.449947,121.35771,1797.0,2023-10-14 03:03:53+00:00
24.449854,121.35776,1802.0,2023-10-14 03:05:40+00:00
24.449678,121.35784,1811.0,2023-10-14 03:06:31+00:00
24.449572,121.35782,1814.0,2023-10-14 03:06:46+00:00
24.44948,121.3578,1817.0,2023-10-14 03:07:06+00:00
24.44937,121.357796,1821.0,2023-10-14 03:07:21+00:00
24.44924,121.35782,1827.0,2023-10-14 03:08:16+00:00
24.449142,121.357765,1828.0,2023-10-14 03:08:36+00:00
24.44904,121.35771,1831.0,2023-10-14 03:08:56+00:00
24.448963,121.35764,1832.0,2023-10-14 03:09:11+00:00
24.44889,121.357574,1833.0,2023-10-14 03:09:35+00:00
24.448744,121.3576,1843.0,2023-10-14 03:10:20+00:00
24.448757,121.3575,1840.0,2023-10-14 03:11:38+00:00
24.448645,121.35748,1847.0,2023-10-14 03:13:20+00:00
24.448494,121.35748,1857.0,2023-10-14 03:14:16+00:00
24.448484,121.357346,1855.0,2023-10-14 03:14:41+00:00
24.448288,121.35747,1869.0,2023-10-14 03:15:27+00:00
24.448185,121.35745,1874.0,2023-10-14 03:16:09+00:00
24.448084,121.35742,1878.0,2023-10-14 03:16:34+00:00
24.448015,121.35734,1878.0,2023-10-14 03:16:59+00:00
24.447958,121.35742,1882.0,2023-10-14 03:17:19+00:00
24.447845,121.357376,1884.0,2023-10-14 03:17:39+00:00
24.447731,121.357376,1886.0,2023-10-14 03:17:55+00:00
24.44767,121.35747,1889.0,2023-10-14 03:18:25+00:00
24.447569,121.35757,1891.0,2023-10-14 03:18:45+00:00
24.447468,121.35752,1890.0,2023-10-14 03:19:00+00:00
24.447374,121.35743,1890.0,2023-10-14 03:19:35+00:00
24.447365,121.35756,1891.0,2023-10-14 03:21:32+00:00
24.44728,121.35763,1893.0,2023-10-14 03:21:52+00:00
24.44736,121.35755,1891.0,2023-10-14 03:22:24+00:00
24.44731,121.35746,1890.0,2023-10-14 03:23:11+00:00
24.447336,121.35734,1889.0,2023-10-14 03:23:31+00:00
24.4473,121.35725,1889.0,2023-10-14 03:24:01+00:00
24.447264,121.357155,1891.0,2023-10-14 03:24:11+00:00
24.44729,121.357056,1892.0,2023-10-14 03:24:21+00:00
24.447306,121.35693,1893.0,2023-10-14 03:24:31+00:00
24.447409,121.35694,1889.0,2023-10-14 03:24:41+00:00
24.44736,121.35683,1894.0,2023-10-14 03:25:01+00:00
24.447449,121.35677,1892.0,2023-10-14 03:25:11+00:00
24.447422,121.356674,1896.0,2023-10-14 03:25:31+00:00
24.447477,121.35659,1893.0,2023-10-14 03:26:05+00:00
24.44739,121.35652,1897.0,2023-10-14 03:26:20+00:00
24.447315,121.35641,1900.0,2023-10-14 03:27:49+00:00
24.447289,121.3563,1899.0,2023-10-14 03:28:09+00:00
24.447304,121.356186,1895.0,2023-10-14 03:28:29+00:00
24.447279,121.35609,1893.0,2023-10-14 03:28:44+00:00
24.447187,121.356064,1895.0,2023-10-14 03:29:06+00:00
24.447073,121.35609,1898.0,2023-10-14 03:29:26+00:00
24.446966,121.35601,1896.0,2023-10-14 03:29:41+00:00
24.446867,121.35601,1896.0,2023-10-14 03:29:56+00:00
24.446772,121.35599,1894.0,2023-10-14 03:30:17+00:00
24.44667,121.3561,1899.0,2023-10-14 03:55:49+00:00
24.446636,121.3562,1902.0,2023-10-14 03:55:59+00:00
24.446617,121.35631,1906.0,2023-10-14 03:56:19+00:00
24.446566,121.3564,1909.0,2023-10-14 03:56:51+00:00
24.446466,121.35648,1911.0,2023-10-14 03:57:25+00:00
24.446394,121.35659,1915.0,2023-10-14 03:57:35+00:00
24.446316,121.35667,1918.0,2023-10-14 03:57:50+00:00
24.44619,121.35667,1917.0,2023-10-14 03:58:05+00:00
24.446089,121.35669,1917.0,2023-10-14 03:58:15+00:00
24.445992,121.35667,1916.0,2023-10-14 03:58:25+00:00
24.445887,121.356674,1915.0,2023-10-14 03:58:46+00:00
24.445768,121.35667,1915.0,2023-10-14 03:59:01+00:00
24.445648,121.356705,1915.0,2023-10-14 03:59:16+00:00
24.44555,121.35665,1914.0,2023-10-14 03:59:36+00:00
24.44546,121.35661,1913.0,2023-10-14 03:59:51+00:00
24.445368,121.3566,1914.0,2023-10-14 04:00:01+00:00
24.44527,121.356544,1914.0,2023-10-14 04:00:16+00:00
24.44517,121.35654,1916.0,2023-10-14 04:00:31+00:00
24.445084,121.35647,1916.0,2023-10-14 04:00:46+00:00
24.444986,121.356384,1918.0,2023-10-14 04:01:01+00:00
24.44487,121.356346,1918.0,2023-10-14 04:01:21+00:00
24.444782,121.35638,1920.0,2023-10-14 04:01:51+00:00
24.444693,121.35642,1922.0,2023-10-14 04:02:31+00:00
24.444561,121.35642,1923.0,2023-10-14 04:02:51+00:00
24.444456,121.35639,1923.0,2023-10-14 04:03:06+00:00
24.444374,121.356346,1921.0,2023-10-14 04:03:16+00:00
24.444284,121.35638,1922.0,2023-10-14 04:03:26+00:00
24.444185,121.35637,1922.0,2023-10-14 04:03:36+00:00
24.444124,121.35629,1920.0,2023-10-14 04:03:46+00:00
24.444033,121.35622,1920.0,2023-10-14 04:03:56+00:00
24.443954,121.356125,1920.0,2023-10-14 04:04:16+00:00
24.443861,121.3561,1923.0,2023-10-14 04:04:31+00:00
