lat,lon,ele,time
24.39678,121.307062,1704.246743,2021-02-25 22:04:19+00:00
24.396764,121.307211,1704.246743,2021-02-25 22:04:24+00:00
24.396838,121.307302,1704.246743,2021-02-25 22:04:30+00:00
24.396911,121.307376,1898.619685,2021-02-25 22:04:35+00:00
24.396929,121.307437,1897.478967,2021-02-25 22:04:40+00:00
24.396926,121.307504,1895.98279,2021-02-25 22:04:46+00:00
24.396905,121.307543,1895.71249,2021-02-25 22:04:52+00:00
24.396886,121.307571,1895.71249,2021-02-25 22:04:58+00:00
24.396911,121.307637,1895.71249,2021-02-25 22:05:04+00:00
24.396956,121.307713,1895.71249,2021-02-25 22:05:10+00:00
24.397005,121.307801,1895.420342,2021-02-25 22:05:16+00:00
24.397016,121.307843,1894.182488,2021-02-25 22:05:22+00:00
24.397021,121.307915,1892.43928,2021-02-25 22:05:28+00:00
24.397073,121.307971,1890.8859,2021-02-25 22:05:34+00:00
24.397122,121.307996,1890.029088,2021-02-25 22:05:40+00:00
24.397183,121.307988,1890.243075,2021-02-25 22:05:46+00:00
24.39724,121.307981,1890.262963,2021-02-25 22:05:52+00:00
24.397287,121.307976,1890.385535,2021-02-25 22:05:58+00:00
24.397344,121.307936,1891.366101,2021-02-25 22:06:04+00:00
24.39738,121.307904,1892.254669,2021-02-25 22:06:10+00:00
24.397411,121.307842,1893.734506,2021-02-25 22:06:16+00:00
24.397428,121.307783,1895.176143,2021-02-25 22:06:22+00:00
24.397444,121.30774,1895.712488,2021-02-25 22:06:28+00:00
24.397462,121.307722,1895.71249,2021-02-25 22:06:34+00:00
24.397494,121.307755,1895.71249,2021-02-25 22:06:40+00:00
24.397508,121.307787,1895.470551,2021-02-25 22:06:46+00:00
24.397569,121.307811,1894.991824,2021-02-25 22:06:52+00:00
24.397632,121.307832,1894.387261,2021-02-25 22:06:58+00:00
24.397684,121.307845,1894.076945,2021-02-25 22:07:04+00:00
24.397771,121.307867,1893.552932,2021-02-25 22:07:10+00:00
24.397824,121.307915,1892.751326,2021-02-25 22:07:16+00:00
24.39801,121.307959,1894.657535,2021-02-25 22:07:22+00:00
24.398094,121.30802,1895.817648,2021-02-25 22:07:28+00:00
24.39819,121.308093,1895.247504,2021-02-25 22:07:34+00:00
24.398263,121.308106,1895.319788,2021-02-25 22:07:40+00:00
24.398315,121.308135,1895.552025,2021-02-25 22:07:46+00:00
24.398358,121.30815,1896.376326,2021-02-25 22:07:52+00:00
24.398433,121.308148,1898.939766,2021-02-25 22:07:58+00:00
24.398475,121.308153,1901.398603,2021-02-25 22:08:04+00:00
24.398548,121.30819,1903.868931,2021-02-25 22:08:10+00:00
24.398651,121.308213,1906.508427,2021-02-25 22:08:16+00:00
24.398713,121.30821,1907.697286,2021-02-25 22:08:22+00:00
24.398814,121.308249,1908.771229,2021-02-25 22:08:28+00:00
24.398916,121.308284,1910.323651,2021-02-25 22:08:34+00:00
24.399051,121.308291,1910.933815,2021-02-25 22:08:40+00:00
24.399131,121.308311,1910.891902,2021-02-25 22:08:46+00:00
24.399189,121.308315,1910.980311,2021-02-25 22:08:52+00:00
24.399235,121.308321,1910.873412,2021-02-25 22:08:58+00:00
24.399249,121.308313,1910.88679,2021-02-25 22:09:04+00:00
24.399263,121.308319,1910.85618,2021-02-25 22:09:10+00:00
24.399287,121.308298,1911.172404,2021-02-25 22:09:16+00:00
24.399306,121.30828,1911.75665,2021-02-25 22:09:22+00:00
24.399322,121.308268,1911.819816,2021-02-25 22:09:28+00:00
24.399365,121.308261,1912.152831,2021-02-25 22:09:34+00:00
24.399391,121.308261,1912.417658,2021-02-25 22:09:40+00:00
24.399453,121.308258,1912.228941,2021-02-25 22:09:46+00:00
24.399469,121.308225,1913.218491,2021-02-25 22:09:52+00:00
24.399473,121.308215,1913.459445,2021-02-25 22:09:58+00:00
24.399491,121.308151,1915.049124,2021-02-25 22:10:04+00:00
24.399509,121.308111,1915.989842,2021-02-25 22:10:10+00:00
24.399565,121.308079,1917.04233,2021-02-25 22:10:16+00:00
24.399587,121.308065,1917.451022,2021-02-25 22:10:22+00:00
24.399671,121.30805,1917.736058,2021-02-25 22:10:28+00:00
24.399739,121.307999,1919.04367,2021-02-25 22:10:34+00:00
24.399783,121.307979,1918.179535,2021-02-25 22:10:40+00:00
24.399819,121.307941,1918.229813,2021-02-25 22:10:46+00:00
24.399847,121.307903,1918.19812,2021-02-25 22:10:52+00:00
24.399886,121.307862,1918.588319,2021-02-25 22:10:58+00:00
24.399906,121.307852,1918.001234,2021-02-25 22:11:04+00:00
24.399949,121.307813,1918.294986,2021-02-25 22:11:10+00:00
24.400004,121.307763,1918.030345,2021-02-25 22:11:16+00:00
24.400027,121.307711,1919.280515,2021-02-25 22:11:22+00:00
24.400062,121.307667,1920.35463,2021-02-25 22:11:28+00:00
24.400121,121.307613,1921.796446,2021-02-25 22:11:33+00:00
24.400136,121.307588,1922.712041,2021-02-25 22:11:38+00:00
24.400152,121.307572,1922.966466,2021-02-25 22:11:43+00:00
24.400186,121.307501,1924.434941,2021-02-25 22:11:49+00:00
24.400226,121.307429,1926.494502,2021-02-25 22:11:54+00:00
24.400276,121.307387,1927.617401,2021-02-25 22:11:59+00:00
24.400303,121.307314,1929.600731,2021-02-25 22:12:04+00:00
24.400319,121.307321,1929.531149,2021-02-25 22:12:09+00:00
24.400373,121.307267,1930.914173,2021-02-25 22:12:14+00:00
24.400424,121.307222,1932.322086,2021-02-25 22:12:19+00:00
24.40048,121.30719,1932.883278,2021-02-25 22:12:24+00:00
24.400523,121.307124,1934.527909,2021-02-25 22:12:29+00:00
24.400554,121.307094,1935.590625,2021-02-25 22:12:34+00:00
24.400582,121.307089,1935.763234,2021-02-25 22:12:39+00:00
24.400619,121.307041,1937.098819,2021-02-25 22:12:44+00:00
24.400649,121.307027,1937.393859,2021-02-25 22:12:49+00:00
24.400694,121.307009,1937.890942,2021-02-25 22:12:54+00:00
24.400718,121.306977,1938.532635,2021-02-25 22:12:59+00:00
24.400735,121.306943,1939.55541,2021-02-25 22:13:04+00:00
24.400754,121.306951,1939.496147,2021-02-25 22:13:09+00:00
24.400781,121.306941,1939.736008,2021-02-25 22:13:14+00:00
24.400835,121.306947,1939.554004,2021-02-25 22:13:19+00:00
24.400862,121.306928,1939.839336,2021-02-25 22:13:24+00:00
24.4009,121.306917,1940.356076,2021-02-25 22:13:29+00:00
24.400919,121.306898,1940.649947,2021-02-25 22:13:34+00:00
24.400958,121.306865,1941.667343,2021-02-25 22:13:39+00:00
24.401,121.306857,1941.988268,2021-02-25 22:13:44+00:00
24.401075,121.306831,1942.496009,2021-02-25 22:13:49+00:00
24.40115,121.306843,1943.008565,2021-02-25 22:13:54+00:00
24.401209,121.306839,1944.294623,2021-02-25 22:13:59+00:00
24.401282,121.306847,1946.479042,2021-02-25 22:14:04+00:00
24.401375,121.306844,1948.798254,2021-02-25 22:14:09+00:00
24.401433,121.306859,1949.390696,2021-02-25 22:14:14+00:00
24.401467,121.306895,1948.39633,2021-02-25 22:14:19+00:00
24.401523,121.306834,1949.342239,2021-02-25 22:14:24+00:00
24.401558,121.306782,1951.195203,2021-02-25 22:14:29+00:00
24.401589,121.306755,1951.741421,2021-02-25 22:14:34+00:00
24.401624,121.306745,1952.06935,2021-02-25 22:14:39+00:00
24.401659,121.306742,1952.41355,2021-02-25 22:14:44+00:00
24.401717,121.306761,1962.807635,2021-02-25 22:14:49+00:00
24.401793,121.306769,1962.140791,2021-02-25 22:14:54+00:00
24.401852,121.306771,1962.68942,2021-02-25 22:14:59+00:00
24.401898,121.306762,1962.810123,2021-02-25 22:15:04+00:00
24.401957,121.306776,1962.860616,2021-02-25 22:15:09+00:00
24.402004,121.306781,1962.017226,2021-02-25 22:15:14+00:00
24.402041,121.306778,1962.447077,2021-02-25 22:15:19+00:00
24.402069,121.306795,1962.410438,2021-02-25 22:15:24+00:00
24.402105,121.306811,1961.056527,2021-02-25 22:15:29+00:00
24.402119,121.306842,1958.881046,2021-02-25 22:15:34+00:00
24.402124,121.306845,1958.774123,2021-02-25 22:15:39+00:00
24.40216,121.306901,1957.797155,2021-02-25 22:15:44+00:00
24.402199,121.306949,1956.199219,2021-02-25 22:15:49+00:00
24.402251,121.306979,1956.166711,2021-02-25 22:15:54+00:00
24.402291,121.306992,1955.7304,2021-02-25 22:15:59+00:00
24.402334,121.307009,1954.87973,2021-02-25 22:16:04+00:00
24.402413,121.307014,1955.222,2021-02-25 22:16:09+00:00
24.402462,121.307033,1955.04809,2021-02-25 22:16:14+00:00
24.402509,121.307056,1954.890049,2021-02-25 22:16:19+00:00
24.402555,121.307065,1956.09615,2021-02-25 22:16:24+00:00
24.402605,121.307064,1957.268227,2021-02-25 22:16:29+00:00
24.402659,121.307091,1958.514218,2021-02-25 22:16:34+00:00
24.402701,121.307075,1960.617341,2021-02-25 22:16:39+00:00
24.402705,121.307078,1960.994225,2021-02-25 22:16:44+00:00
24.402724,121.307067,1961.681011,2021-02-25 22:16:49+00:00
24.402734,121.307058,1962.641285,2021-02-25 22:16:54+00:00
24.402761,121.307085,1962.356152,2021-02-25 22:16:59+00:00
24.402782,121.307085,1962.94974,2021-02-25 22:17:04+00:00
24.402808,121.307104,1962.737359,2021-02-25 22:17:09+00:00
24.402832,121.307071,1964.637421,2021-02-25 22:17:14+00:00
24.402861,121.30705,1966.036609,2021-02-25 22:17:19+00:00
24.402922,121.30705,1967.252809,2021-02-25 22:17:24+00:00
24.40294,121.307022,1968.750884,2021-02-25 22:17:29+00:00
24.40297,121.306986,1971.75982,2021-02-25 22:17:34+00:00
24.402997,121.306961,1974.43952,2021-02-25 22:17:39+00:00
24.40303,121.306968,1975.137862,2021-02-25 22:17:44+00:00
24.403069,121.30697,1976.713635,2021-02-25 22:17:49+00:00
24.40311,121.306978,1975.872885,2021-02-25 22:17:54+00:00
24.403135,121.306949,1976.760458,2021-02-25 22:17:59+00:00
24.403172,121.306921,1979.06282,2021-02-25 22:18:04+00:00
24.403227,121.306931,1978.107664,2021-02-25 22:18:09+00:00
24.403287,121.30695,1948.934859,2021-02-25 22:18:14+00:00
24.403323,121.306973,1935.064159,2021-02-25 22:18:19+00:00
24.403365,121.306988,1976.840772,2021-02-25 22:18:24+00:00
24.403409,121.306985,1968.036688,2021-02-25 22:18:29+00:00
24.403457,121.306965,1940.759197,2021-02-25 22:18:34+00:00
24.403511,121.306999,1930.880219,2021-02-25 22:18:40+00:00
24.40357,121.30699,1970.874864,2021-02-25 22:18:46+00:00
24.403637,121.306993,1984.343624,2021-02-25 22:18:52+00:00
24.403689,121.307016,1949.179378,2021-02-25 22:18:58+00:00
24.403755,121.307014,1952.108923,2021-02-25 22:19:04+00:00
24.403798,121.307022,1983.569727,2021-02-25 22:19:09+00:00
24.403845,121.307013,1984.811963,2021-02-25 22:19:14+00:00
24.403888,121.307011,1984.866949,2021-02-25 22:19:19+00:00
24.403911,121.307024,1985.12645,2021-02-25 22:19:24+00:00
24.403959,121.307029,1985.818207,2021-02-25 22:19:29+00:00
24.404034,121.307043,1986.708989,2021-02-25 22:19:34+00:00
24.404102,121.307072,1986.935142,2021-02-25 22:19:39+00:00
24.40415,121.307115,1985.375619,2021-02-25 22:19:44+00:00
24.404212,121.307159,1984.065366,2021-02-25 22:19:49+00:00
24.404246,121.307177,1982.679514,2021-02-25 22:19:54+00:00
24.404271,121.307171,1984.145313,2021-02-25 22:19:59+00:00
24.404304,121.30719,1984.277103,2021-02-25 22:20:04+00:00
24.40433,121.307215,1983.871873,2021-02-25 22:20:09+00:00
24.404383,121.307234,1984.118005,2021-02-25 22:20:14+00:00
24.404454,121.307255,1985.228206,2021-02-25 22:20:19+00:00
24.404516,121.307323,1981.709117,2021-02-25 22:20:24+00:00
24.404573,121.307358,1980.254382,2021-02-25 22:20:29+00:00
24.404618,121.307376,1979.82431,2021-02-25 22:20:34+00:00
24.404641,121.307397,1979.751149,2021-02-25 22:20:39+00:00
24.404684,121.307415,1979.694762,2021-02-25 22:20:44+00:00
24.404731,121.3074,1980.733662,2021-02-25 22:20:49+00:00
24.404792,121.307439,1981.875604,2021-02-25 22:20:54+00:00
24.404829,121.307452,1983.001788,2021-02-25 22:20:59+00:00
24.404864,121.307443,1984.365002,2021-02-25 22:21:04+00:00
24.404902,121.307451,1985.643301,2021-02-25 22:21:09+00:00
24.40493,121.307467,1986.190321,2021-02-25 22:21:14+00:00
24.404982,121.307483,1986.945427,2021-02-25 22:21:19+00:00
24.405053,121.307494,1987.662333,2021-02-25 22:21:25+00:00
24.405128,121.307548,1986.66102,2021-02-25 22:21:30+00:00
24.405215,121.307585,1984.410882,2021-02-25 22:21:35+00:00
24.405264,121.307615,1983.527828,2021-02-25 22:21:40+00:00
24.405277,121.307612,1983.407893,2021-02-25 22:21:45+00:00
24.405273,121.307587,1984.053343,2021-02-25 22:21:50+00:00
24.405272,121.307607,1983.688413,2021-02-25 22:21:55+00:00
24.405259,121.307669,1981.793544,2021-02-25 22:22:00+00:00
24.405249,121.307673,1981.266362,2021-02-25 22:22:05+00:00
24.405257,121.307728,1979.81198,2021-02-25 22:22:10+00:00
24.405254,121.307713,1979.923819,2021-02-25 22:22:15+00:00
24.405221,121.30773,1979.387693,2021-02-25 22:22:20+00:00
24.405212,121.307742,1978.929658,2021-02-25 22:22:25+00:00
24.405212,121.307735,1978.932099,2021-02-25 22:22:30+00:00
24.405201,121.307727,1979.459978,2021-02-25 22:22:35+00:00
24.405201,121.307734,1979.362129,2021-02-25 22:22:40+00:00
24.405199,121.307758,1978.582326,2021-02-25 22:22:45+00:00
24.405196,121.307771,1978.166231,2021-02-25 22:22:50+00:00
24.405194,121.307814,1976.64802,2021-02-25 22:22:55+00:00
24.405204,121.307829,1975.935443,2021-02-25 22:23:00+00:00
24.405219,121.307845,1975.671919,2021-02-25 22:23:05+00:00
24.405233,121.307855,1974.977568,2021-02-25 22:23:10+00:00
24.405244,121.307872,1974.698861,2021-02-25 22:23:15+00:00
24.405254,121.307902,1973.907804,2021-02-25 22:23:20+00:00
24.405263,121.307922,1972.760822,2021-02-25 22:23:25+00:00
24.40527,121.307921,1972.773529,2021-02-25 22:23:30+00:00
24.405278,121.307948,1971.953113,2021-02-25 22:23:35+00:00
24.405285,121.307958,1971.688896,2021-02-25 22:23:40+00:00
24.405292,121.307969,1971.448343,2021-02-25 22:23:45+00:00
24.405288,121.307987,1970.974344,2021-02-25 22:23:50+00:00
24.405303,121.308014,1970.457025,2021-02-25 22:23:55+00:00
