lat,lon,ele,time
24.39703,121.30729,1892.0,2024-11-22 20:00:06+00:00
24.397036,121.3074,1890.0,2024-11-22 20:00:16+00:00
24.397165,121.30747,1889.0,2024-11-22 20:00:26+00:00
24.396992,121.30737,1891.0,2024-11-22 20:00:32+00:00
24.396927,121.30713,1894.0,2024-11-22 20:00:46+00:00
24.396965,121.30726,1892.0,2024-11-22 20:00:51+00:00
24.397165,121.307526,1889.0,2024-11-22 20:00:57+00:00
24.396948,121.3074,1890.0,2024-11-22 20:01:05+00:00
24.39696,121.30742,1890.0,2024-11-22 20:01:10+00:00
24.39695,121.30746,1890.0,2024-11-22 20:01:20+00:00
24.396992,121.30755,1889.0,2024-11-22 20:01:30+00:00
24.396984,121.307724,1887.0,2024-11-22 20:01:40+00:00
24.397066,121.30782,1885.0,2024-11-22 20:01:50+00:00
24.397114,121.307846,1884.0,2024-11-22 20:02:10+00:00
24.397163,121.30787,1884.0,2024-11-22 20:02:20+00:00
24.39719,121.30787,1884.0,2024-11-22 20:02:25+00:00
24.397268,121.307816,1886.0,2024-11-22 20:02:36+00:00
24.397583,121.307785,1882.0,2024-11-22 20:02:45+00:00
24.397627,121.307755,1882.0,2024-11-22 20:02:50+00:00
24.397734,121.30775,1879.0,2024-11-22 20:03:00+00:00
24.397802,121.30776,1877.0,2024-11-22 20:03:05+00:00
24.397861,121.30778,1875.0,2024-11-22 20:03:10+00:00
24.397926,121.30779,1874.0,2024-11-22 20:03:20+00:00
24.39802,121.30784,1872.0,2024-11-22 20:03:30+00:00
24.398312,121.307945,1879.0,2024-11-22 20:03:40+00:00
24.398384,121.30801,1881.0,2024-11-22 20:03:50+00:00
24.398422,121.30805,1882.0,2024-11-22 20:03:55+00:00
24.39853,121.3081,1885.0,2024-11-22 20:04:05+00:00
24.398588,121.308136,1886.0,2024-11-22 20:04:15+00:00
24.398697,121.30811,1888.0,2024-11-22 20:04:26+00:00
24.398893,121.30808,1893.0,2024-11-22 20:04:36+00:00
24.398956,121.308105,1893.0,2024-11-22 20:04:45+00:00
24.398996,121.30814,1893.0,2024-11-22 20:04:55+00:00
24.399006,121.30815,1893.0,2024-11-22 20:05:00+00:00
24.399067,121.30817,1893.0,2024-11-22 20:05:15+00:00
24.399197,121.3082,1893.0,2024-11-22 20:05:25+00:00
24.399323,121.30814,1894.0,2024-11-22 20:05:35+00:00
24.399458,121.30806,1896.0,2024-11-22 20:05:45+00:00
24.399555,121.30797,1899.0,2024-11-22 20:05:55+00:00
24.399603,121.30795,1899.0,2024-11-22 20:06:00+00:00
24.399654,121.307915,1901.0,2024-11-22 20:06:15+00:00
24.39971,121.30787,1902.0,2024-11-22 20:06:25+00:00
24.39979,121.30781,1904.0,2024-11-22 20:06:35+00:00
24.399881,121.30777,1903.0,2024-11-22 20:06:41+00:00
24.399971,121.30772,1902.0,2024-11-22 20:06:50+00:00
24.400043,121.30764,1903.0,2024-11-22 20:06:56+00:00
24.400095,121.30753,1906.0,2024-11-22 20:07:05+00:00
24.400148,121.30751,1906.0,2024-11-22 20:07:10+00:00
24.400263,121.307526,1905.0,2024-11-22 20:07:20+00:00
24.400354,121.30746,1907.0,2024-11-22 20:07:30+00:00
24.400555,121.30729,1912.0,2024-11-22 20:07:40+00:00
24.40061,121.30735,1909.0,2024-11-22 20:07:50+00:00
24.400667,121.30739,1907.0,2024-11-22 20:08:00+00:00
24.400702,121.30728,1910.0,2024-11-22 20:08:11+00:00
24.400757,121.307175,1913.0,2024-11-22 20:08:20+00:00
24.400785,121.30712,1915.0,2024-11-22 20:08:25+00:00
24.400843,121.307045,1917.0,2024-11-22 20:08:31+00:00
24.401169,121.30701,1917.0,2024-11-22 20:08:40+00:00
24.4012,121.306984,1919.0,2024-11-22 20:08:45+00:00
24.401379,121.30684,1931.0,2024-11-22 20:09:15+00:00
24.401463,121.30684,1932.0,2024-11-22 20:09:25+00:00
24.401514,121.30682,1933.0,2024-11-22 20:09:35+00:00
24.40166,121.30685,1932.0,2024-11-22 20:09:46+00:00
24.40174,121.306885,1930.0,2024-11-22 20:09:51+00:00
