lat,lon,ele,time
24.4306291,121.3644458,1338.74,2021-09-18 01:51:01.400000+00:00
24.4314644,121.3642222,1365.94,2021-09-18 02:01:37.400000+00:00
24.4312995,121.3643424,1359.05,2021-09-18 02:03:55.300000+00:00
24.4312583,121.3645352,1364.74,2021-09-18 02:07:02+00:00
24.4311689,121.3647192,1375.04,2021-09-18 02:08:44+00:00
24.4312548,121.3648928,1393.44,2021-09-18 02:10:15+00:00
24.4313438,121.3650713,1398.74,2021-09-18 02:11:24+00:00
24.4314546,121.3652455,1409.74,2021-09-18 02:12:28+00:00
24.431599,121.3653654,1417.72,2021-09-18 02:13:34+00:00
24.4317762,121.3653242,1427.65,2021-09-18 02:14:59+00:00
24.4318988,121.36547,1435.74,2021-09-18 02:16:41+00:00
24.4320648,121.3655521,1444.44,2021-09-18 02:17:45+00:00
24.4321813,121.3657054,1456.75,2021-09-18 02:19:22+00:00
24.4322205,121.3659012,1462.75,2021-09-18 02:20:15+00:00
24.4321838,121.3661005,1477.45,2021-09-18 02:21:24+00:00
24.4322843,121.3662697,1488.74,2021-09-18 02:23:04+00:00
24.4323497,121.3664613,1491.44,2021-09-18 02:24:35+00:00
24.4324852,121.3665938,1500.04,2021-09-18 02:25:50+00:00
24.4326016,121.3667563,1513.75,2021-09-18 02:27:18+00:00
24.4327552,121.3668621,1525.75,2021-09-18 02:29:30+00:00
24.4329255,121.3669388,1532.78,2021-09-18 02:30:58+00:00
24.4330573,121.3670792,1551.72,2021-09-18 02:32:24+00:00
24.4332138,121.3671973,1563.75,2021-09-18 02:40:04+00:00
24.4333581,121.3673292,1563.76,2021-09-18 02:40:55+00:00
24.4334555,121.3674994,1568.46,2021-09-18 02:43:37+00:00
24.4336422,121.3675004,1574.75,2021-09-18 02:44:15+00:00
24.4338269,121.3674717,1583.75,2021-09-18 02:45:16+00:00
24.4340083,121.3674449,1587.75,2021-09-18 02:46:30+00:00
24.4341907,121.367406,1591.75,2021-09-18 02:47:37+00:00
24.4343581,121.367307,1597.75,2021-09-18 02:48:30+00:00
24.4345412,121.3673196,1611.88,2021-09-18 02:50:52+00:00
24.4359947,121.3664418,1686.24,2021-09-18 03:08:37.800000+00:00
24.4365785,121.363,1768.92,2021-09-18 03:44:07.300000+00:00
24.4367149,121.3628652,1775.73,2021-09-18 03:44:16+00:00
24.4366459,121.3626772,1795.02,2021-09-18 03:46:51+00:00
24.4366639,121.3624744,1797.71,2021-09-18 03:48:00+00:00
24.4367545,121.3623026,1801.71,2021-09-18 03:49:00+00:00
24.4368179,121.3621129,1818.7,2021-09-18 03:50:59+00:00
24.4369662,121.3619969,1835.1,2021-09-18 03:52:48+00:00
24.4370737,121.3618314,1844.7,2021-09-18 03:54:25+00:00
24.4371817,121.3616653,1853.4,2021-09-18 03:56:10+00:00
24.4372909,121.3615009,1867.58,2021-09-18 03:58:25+00:00
24.4373663,121.36132,1878.31,2021-09-18 04:00:12+00:00
24.4374739,121.3611547,1903.59,2021-09-18 04:02:44+00:00
24.437629,121.3610439,1904.7,2021-09-18 04:17:00+00:00
24.4377592,121.3609057,1907.39,2021-09-18 04:18:04+00:00
24.4378916,121.3607673,1911.39,2021-09-18 04:18:45+00:00
24.4379137,121.36057,1915.99,2021-09-18 04:19:28+00:00
24.4379437,121.3603741,1926.59,2021-09-18 04:20:36+00:00
24.4379533,121.3601714,1937.69,2021-09-18 04:21:27+00:00
24.4379239,121.3599703,1940.71,2021-09-18 04:22:16+00:00
24.4379275,121.35977,1948.67,2021-09-18 04:23:27+00:00
24.4378417,121.3595806,1953.69,2021-09-18 04:24:04+00:00
24.4378893,121.3593873,1955.68,2021-09-18 04:26:13+00:00
24.4379477,121.3591854,1957.68,2021-09-18 04:26:58+00:00
24.4380773,121.3590438,1970.75,2021-09-18 04:28:40+00:00
24.4381956,121.3588943,1979.65,2021-09-18 04:30:08+00:00
24.4382573,121.3587055,1996.58,2021-09-18 04:32:23+00:00
24.4382577,121.3585041,2003.68,2021-09-18 04:33:57+00:00
24.4382966,121.3583046,2006.68,2021-09-18 04:35:23+00:00
24.438414,121.3581542,2016.35,2021-09-18 04:37:11+00:00
24.4383702,121.3579617,2037.47,2021-09-18 04:39:31+00:00
24.4383027,121.3577704,2046.67,2021-09-18 04:41:41+00:00
24.4383089,121.3575676,2050.07,2021-09-18 04:43:52+00:00
24.4383071,121.3573673,2061.67,2021-09-18 04:46:20+00:00
24.438432,121.3572193,2064.67,2021-09-18 04:47:27+00:00
24.4384513,121.3570225,2071.36,2021-09-18 04:48:21+00:00
24.4385037,121.3568256,2078.64,2021-09-18 04:48:56+00:00
24.4384621,121.3566257,2080.67,2021-09-18 04:49:29+00:00
24.4385616,121.3564596,2081.64,2021-09-18 04:50:03+00:00
24.4386923,121.3563217,2083.82,2021-09-18 05:16:23+00:00
24.4387719,121.3561436,2071.96,2021-09-18 05:17:52+00:00
24.4387879,121.3559468,2064.64,2021-09-18 05:18:48+00:00
24.4388512,121.3557607,2075.66,2021-09-18 05:20:47+00:00
24.4389827,121.3556172,2078.66,2021-09-18 05:21:22+00:00
24.4390908,121.3554509,2081.92,2021-09-18 05:21:59+00:00
24.4392585,121.3553551,2083.66,2021-09-18 05:22:27+00:00
24.4394253,121.3552709,2085.66,2021-09-18 05:23:06+00:00
24.4395238,121.3551018,2084.26,2021-09-18 05:26:45+00:00
24.4396174,121.3549291,2086.66,2021-09-18 05:27:35+00:00
24.4395889,121.3547214,2088.65,2021-09-18 05:32:55+00:00
24.4394421,121.354594,2095.64,2021-09-18 05:33:42+00:00
24.439274,121.3545128,2098.65,2021-09-18 05:34:07+00:00
24.4391122,121.3544228,2097.65,2021-09-18 05:37:21+00:00
24.4389381,121.3543453,2096.74,2021-09-18 05:37:49+00:00
24.4387984,121.3542167,2093.93,2021-09-18 05:38:15+00:00
24.4386609,121.3540775,2092.65,2021-09-18 05:38:50+00:00
24.4385484,121.3539154,2087.56,2021-09-18 05:39:44+00:00
24.4384663,121.3537389,2073.61,2021-09-18 05:40:49+00:00
24.4383932,121.3535522,2077.65,2021-09-18 05:41:30+00:00
24.4383843,121.353351,2075.86,2021-09-18 05:42:13+00:00
24.4383299,121.3531592,2068.95,2021-09-18 05:42:52+00:00
24.4382729,121.3529696,2066.65,2021-09-18 05:43:22+00:00
