lat,lon,ele,time
24.397031,121.307716,1924.870716,2021-11-20 16:10:47+00:00
24.396992,121.307792,1901.731792,2021-11-20 16:10:52+00:00
24.397029,121.307879,1899.435236,2021-11-20 16:10:57+00:00
24.39709,121.307914,1898.576392,2021-11-20 16:11:03+00:00
24.397154,121.307948,1897.419609,2021-11-20 16:11:09+00:00
24.397184,121.307972,1896.779975,2021-11-20 16:11:15+00:00
24.397205,121.307921,1898.156026,2021-11-20 16:11:21+00:00
24.397242,121.307925,1897.993992,2021-11-20 16:11:27+00:00
24.397289,121.307937,1897.649662,2021-11-20 16:11:33+00:00
24.397344,121.307932,1897.793876,2021-11-20 16:11:39+00:00
24.397412,121.307927,1897.99748,2021-11-20 16:11:45+00:00
24.397465,121.307936,1897.74273,2021-11-20 16:11:51+00:00
24.397523,121.307911,1898.191209,2021-11-20 16:11:57+00:00
24.397579,121.307867,1899.369115,2021-11-20 16:12:03+00:00
24.397631,121.307858,1899.925673,2021-11-20 16:12:09+00:00
24.397665,121.30784,1899.967349,2021-11-20 16:12:15+00:00
24.397671,121.307878,1899.581976,2021-11-20 16:12:21+00:00
24.397698,121.307923,1898.171147,2021-11-20 16:12:27+00:00
24.397807,121.307995,1896.596524,2021-11-20 16:12:33+00:00
24.3979,121.308036,1897.736023,2021-11-20 16:12:39+00:00
24.397971,121.308062,1899.437805,2021-11-20 16:12:45+00:00
24.398049,121.308094,1900.507545,2021-11-20 16:12:51+00:00
24.39812,121.308115,1900.730047,2021-11-20 16:12:57+00:00
24.398192,121.308154,1900.510827,2021-11-20 16:13:03+00:00
24.398249,121.30816,1900.9846,2021-11-20 16:13:09+00:00
24.398306,121.30816,1901.493049,2021-11-20 16:13:15+00:00
24.398347,121.308191,1902.208698,2021-11-20 16:13:21+00:00
24.398374,121.308187,1903.631219,2021-11-20 16:13:27+00:00
24.398368,121.30816,1903.3208,2021-11-20 16:13:33+00:00
24.398399,121.308154,1904.65655,2021-11-20 16:13:39+00:00
24.398406,121.308154,1904.98571,2021-11-20 16:13:45+00:00
24.398449,121.308167,1906.434449,2021-11-20 16:13:51+00:00
24.398488,121.308168,1908.204373,2021-11-20 16:13:57+00:00
24.398497,121.308179,1908.489855,2021-11-20 16:14:03+00:00
24.398593,121.308228,1910.990092,2021-11-20 16:14:09+00:00
24.398635,121.30825,1911.841284,2021-11-20 16:14:15+00:00
24.398726,121.308307,1912.418917,2021-11-20 16:14:21+00:00
24.398808,121.308323,1913.747128,2021-11-20 16:14:27+00:00
24.398927,121.308314,1916.565192,2021-11-20 16:14:33+00:00
24.398987,121.308355,1916.166097,2021-11-20 16:14:39+00:00
24.399076,121.308347,1916.167624,2021-11-20 16:14:45+00:00
24.399146,121.308324,1916.574657,2021-11-20 16:14:51+00:00
24.39921,121.308259,1918.263816,2021-11-20 16:14:57+00:00
24.399278,121.308215,1919.294366,2021-11-20 16:15:03+00:00
24.399348,121.308166,1920.655303,2021-11-20 16:15:09+00:00
24.399457,121.308081,1922.835747,2021-11-20 16:15:15+00:00
24.399534,121.308044,1924.091587,2021-11-20 16:15:21+00:00
